State_code,State,Muni_code,Municipality,Income
30,Veracruz,30106,Miahuatlán,1070
30,Veracruz,30107,Las Minas,637
30,Veracruz,30108,Minatitlán,3361
30,Veracruz,30109,Misantla,1470
30,Veracruz,30110,Mixtla de Altamirano,425
30,Veracruz,30111,Moloacán,1652
30,Veracruz,30112,Naolinco,1797
30,Veracruz,30113,Naranjal,965
30,Veracruz,30114,Nautla,1345
30,Veracruz,30115,Nogales,1930
30,Veracruz,30116,Oluta,2021
30,Veracruz,30117,Omealca,1219
30,Veracruz,30118,Orizaba,5985
30,Veracruz,30119,Otatitlán,2144
30,Veracruz,30120,Oteapan,1646
30,Veracruz,30121,Ozuluama de Mascareñas,1075
30,Veracruz,30122,Pajapan,996
30,Veracruz,30123,Pánuco,2033
30,Veracruz,30124,Papantla,1662
30,Veracruz,30125,Paso del Macho,1602
30,Veracruz,30126,Paso de Ovejas,1718
30,Veracruz,30127,La Perla,609
30,Veracruz,30128,Perote,1765
30,Veracruz,30129,Platón Sánchez,1460
30,Veracruz,30130,Playa Vicente,1172
30,Veracruz,30131,Poza Rica de Hidalgo,3983
30,Veracruz,30132,Las Vigas de Ramírez,1220
30,Veracruz,30133,Pueblo Viejo,2100
30,Veracruz,30134,Puente Nacional,1793
30,Veracruz,30135,Rafael Delgado,1374
30,Veracruz,30136,Rafael Lucio,1768
30,Veracruz,30137,Los Reyes,680
30,Veracruz,30138,Río Blanco,3929
30,Veracruz,30139,Saltabarranca,1770
30,Veracruz,30140,San Andrés Tenejapan,797
30,Veracruz,30141,San Andrés Tuxtla,1502
30,Veracruz,30142,San Juan Evangelista,1182
30,Veracruz,30143,Santiago Tuxtla,1311
30,Veracruz,30144,Sayula de Alemán,1256
30,Veracruz,30145,Soconusco,2410
30,Veracruz,30146,Sochiapa,738
30,Veracruz,30147,Soledad Atzompa,633
30,Veracruz,30148,Soledad de Doblado,1445
30,Veracruz,30149,Soteapan,771
30,Veracruz,30150,Tamalín,1214
30,Veracruz,30151,Tamiahua,1185
30,Veracruz,30152,Tampico Alto,1761
30,Veracruz,30153,Tancoco,1188
30,Veracruz,30154,Tantima,902
30,Veracruz,30155,Tantoyuca,1273
30,Veracruz,30156,Tatatila,699
30,Veracruz,30157,Castillo de Teayo,1131
30,Veracruz,30158,Tecolutla,1201
30,Veracruz,30159,Tehuipango,524
30,Veracruz,30160,Álamo Temapache,1247
30,Veracruz,30161,Tempoal,1450
30,Veracruz,30162,Tenampa,974
30,Veracruz,30163,Tenochtitlán,761
30,Veracruz,30164,Teocelo,1812
30,Veracruz,30165,Tepatlaxco,697
30,Veracruz,30166,Tepetlán,875
30,Veracruz,30167,Tepetzintla,1032
30,Veracruz,30168,Tequila,839
30,Veracruz,30169,José Azueta,1232
30,Veracruz,30170,Texcatepec,811
30,Veracruz,30171,Texhuacán,812
30,Veracruz,30172,Texistepec,1090
30,Veracruz,30173,Tezonapa,1142
30,Veracruz,30174,Tierra Blanca,1953
30,Veracruz,30175,Tihuatlán,1378
30,Veracruz,30176,Tlacojalpan,1838
30,Veracruz,30177,Tlacolulan,871
30,Veracruz,30178,Tlacotalpan,2183
30,Veracruz,30179,Tlacotepec de Mejía,1011
30,Veracruz,30180,Tlachichilco,772
30,Veracruz,30181,Tlalixcoyan,1642
30,Veracruz,30182,Tlalnelhuayocan,1671
30,Veracruz,30183,Tlapacoyan,1356
30,Veracruz,30184,Tlaquilpa,658
30,Veracruz,30185,Tlilapan,1448
30,Veracruz,30186,Tomatlán,1842
30,Veracruz,30187,Tonayán,726
30,Veracruz,30188,Totutla,958
30,Veracruz,30189,Tuxpan,2828
30,Veracruz,30190,Tuxtilla,1690
30,Veracruz,30191,Ursulo Galván,2609
30,Veracruz,30192,Vega de Alatorre,1885
30,Veracruz,30193,Veracruz,4298
30,Veracruz,30194,Villa Aldama,1008
30,Veracruz,30195,Xoxocotla,626
30,Veracruz,30196,Yanga,1825
30,Veracruz,30197,Yecuatla,1267
30,Veracruz,30198,Zacualpan,743
30,Veracruz,30199,Zaragoza,1260
30,Veracruz,30200,Zentla,1005
30,Veracruz,30201,Zongolica,932
30,Veracruz,30202,Zontecomatlán de López y Fuentes,573
30,Veracruz,30203,Zozocolco de Hidalgo,771
30,Veracruz,30204,Agua Dulce,2585
30,Veracruz,30205,El Higo,1771
30,Veracruz,30206,Nanchital de Lázaro Cárdenas del Río,3447
30,Veracruz,30207,Tres Valles,1741
30,Veracruz,30208,Carlos A. Carrillo,2197
30,Veracruz,30209,Tatahuicapan de Juárez,923
30,Veracruz,30210,Uxpanapa,794
30,Veracruz,30211,San Rafael,1641
30,Veracruz,30212,Santiago Sochiapan,705
31,Yucatán,31001,Abalá,1415
31,Yucatán,31002,Acanceh,1838
31,Yucatán,31003,Akil,1371
31,Yucatán,31004,Baca,2180
31,Yucatán,31005,Bokobá,1995
31,Yucatán,31006,Buctzotz,1261
31,Yucatán,31007,Cacalchén,2105
31,Yucatán,31008,Calotmul,1097
31,Yucatán,31009,Cansahcab,1944
31,Yucatán,31010,Cantamayec,757
31,Yucatán,31011,Celestún,1198
31,Yucatán,31012,Cenotillo,1256
31,Yucatán,31013,Conkal,2323
31,Yucatán,31014,Cuncunul,941
31,Yucatán,31015,Cuzamá,1504
31,Yucatán,31016,Chacsinkín,951
31,Yucatán,31017,Chankom,727
31,Yucatán,31018,Chapab,1337
31,Yucatán,31019,Chemax,845
31,Yucatán,31020,Chicxulub Pueblo,2292
31,Yucatán,31021,Chichimilá,1181
31,Yucatán,31022,Chikindzonot,847
31,Yucatán,31023,Chocholá,2270
31,Yucatán,31024,Chumayel,1258
31,Yucatán,31025,Dzán,1302
31,Yucatán,31026,Dzemul,2215
31,Yucatán,31027,Dzidzantún,2620
31,Yucatán,31028,Dzilam de Bravo,1724
31,Yucatán,31029,Dzilam González,1600
31,Yucatán,31030,Dzitás,1166
31,Yucatán,31031,Dzoncauich,1100
31,Yucatán,31032,Espita,1174
31,Yucatán,31033,Halachó,1605
31,Yucatán,31034,Hocabá,1494
31,Yucatán,31035,Hoctún,1500
31,Yucatán,31036,Homún,1526
31,Yucatán,31037,Huhí,1438
31,Yucatán,31038,Hunucmá,1662
31,Yucatán,31039,Ixil,1879
31,Yucatán,31040,Izamal,1889
31,Yucatán,31041,Kanasín,2109
31,Yucatán,31042,Kantunil,1264
31,Yucatán,31043,Kaua,797
31,Yucatán,31044,Kinchil,1424
31,Yucatán,31045,Kopomá,2155
31,Yucatán,31046,Mama,1407
31,Yucatán,31047,Maní,1205
31,Yucatán,31048,Maxcanú,1660
31,Yucatán,31049,Mayapán,1044
31,Yucatán,31050,Mérida,3931
31,Yucatán,31051,Mocochá,2300
31,Yucatán,31052,Motul,1793
31,Yucatán,31053,Muna,1663
31,Yucatán,31054,Muxupip,1983
31,Yucatán,31055,Opichén,1291
31,Yucatán,31056,Oxkutzcab,1404
31,Yucatán,31057,Panabá,1190
31,Yucatán,31058,Peto,1443
31,Yucatán,31059,Progreso,2437
31,Yucatán,31060,Quintana Roo,976
31,Yucatán,31061,Río Lagartos,1945
31,Yucatán,31062,Sacalum,1517
31,Yucatán,31063,Samahil,1596
31,Yucatán,31064,Sanahcat,1595
31,Yucatán,31065,San Felipe,2095
31,Yucatán,31066,Santa Elena,1296
31,Yucatán,31067,Seyé,1522
31,Yucatán,31068,Sinanché,1533
31,Yucatán,31069,Sotuta,1025
31,Yucatán,31070,Sucilá,1547
31,Yucatán,31071,Sudzal,1038
31,Yucatán,31072,Suma,1497
31,Yucatán,31073,Tahdziú,826
31,Yucatán,31074,Tahmek,1888
31,Yucatán,31075,Teabo,1238
31,Yucatán,31076,Tecoh,1680
31,Yucatán,31077,Tekal de Venegas,1388
31,Yucatán,31078,Tekantó,1605
31,Yucatán,31079,Tekax,1512
31,Yucatán,31080,Tekit,1390
31,Yucatán,31081,Tekom,1076
31,Yucatán,31082,Telchac Pueblo,2327
31,Yucatán,31083,Telchac Puerto,1973
31,Yucatán,31084,Temax,1398
31,Yucatán,31085,Temozón,1119
31,Yucatán,31086,Tepakán,1485
31,Yucatán,31087,Tetiz,1368
31,Yucatán,31088,Teya,1321
31,Yucatán,31089,Ticul,1984
31,Yucatán,31090,Timucuy,1484
31,Yucatán,31091,Tinum,1235
31,Yucatán,31092,Tixcacalcupul,919
31,Yucatán,31093,Tixkokob,2178
31,Yucatán,31094,Tixmehuac,800
31,Yucatán,31095,Tixpéhual,2010
31,Yucatán,31096,Tizimín,1483
31,Yucatán,31097,Tunkás,1239
31,Yucatán,31098,Tzucacab,1196
31,Yucatán,31099,Uayma,1028
31,Yucatán,31100,Ucú,1683
31,Yucatán,31101,Umán,2139
31,Yucatán,31102,Valladolid,1873
31,Yucatán,31103,Xocchel,1286
31,Yucatán,31104,Yaxcabá,819
31,Yucatán,31105,Yaxkukul,2054
31,Yucatán,31106,Yobaín,1233
32,Zacatecas,32001,Apozol,1995
32,Zacatecas,32002,Apulco,1424
32,Zacatecas,32003,Atolinga,1572
32,Zacatecas,32004,Benito Juárez,1522
32,Zacatecas,32005,Calera,1854
32,Zacatecas,32006,Cañitas de Felipe Pescador,1817
32,Zacatecas,32007,Concepción del Oro,2116
32,Zacatecas,32008,Cuauhtémoc,1467
32,Zacatecas,32009,Chalchihuites,1458
32,Zacatecas,32010,Fresnillo,2284
32,Zacatecas,32011,Trinidad García de la Cadena,1791
32,Zacatecas,32012,Genaro Codina,1126
32,Zacatecas,32013,General Enrique Estrada,1728
32,Zacatecas,32014,General Francisco R. Murguía,1589
32,Zacatecas,32015,El Plateado de Joaquín Amaro,1379
32,Zacatecas,32016,General Pánfilo Natera,1249
32,Zacatecas,32017,Guadalupe,3781
32,Zacatecas,32018,Huanusco,1715
32,Zacatecas,32019,Jalpa,2141
32,Zacatecas,32020,Jerez,2041
32,Zacatecas,32021,Jiménez del Teul,909
32,Zacatecas,32022,Juan Aldama,1655
32,Zacatecas,32023,Juchipila,2756
32,Zacatecas,32024,Loreto,1891
32,Zacatecas,32025,Luis Moya,1685
32,Zacatecas,32026,Mazapil,1172
32,Zacatecas,32027,Melchor Ocampo,1274
32,Zacatecas,32028,Mezquital del Oro,1778
32,Zacatecas,32029,Miguel Auza,1391
32,Zacatecas,32030,Momax,1769
32,Zacatecas,32031,Monte Escobedo,1655
32,Zacatecas,32032,Morelos,2780
32,Zacatecas,32033,Moyahua de Estrada,2206
32,Zacatecas,32034,Nochistlán de Mejía,1899
32,Zacatecas,32035,Noria de Ángeles,1197
32,Zacatecas,32036,Ojocaliente,1523
32,Zacatecas,32037,Pánuco,1376
32,Zacatecas,32038,Pinos,1271
32,Zacatecas,32039,Río Grande,1865
32,Zacatecas,32040,Sain Alto,1268
32,Zacatecas,32041,El Salvador,1146
32,Zacatecas,32042,Sombrerete,1597
32,Zacatecas,32043,Susticacán,1541
32,Zacatecas,32044,Tabasco,1655
32,Zacatecas,32045,Tepechitlán,1855
32,Zacatecas,32046,Tepetongo,1517
32,Zacatecas,32047,Teúl de González Ortega,1869
32,Zacatecas,32048,Tlaltenango de Sánchez Román,1833
32,Zacatecas,32049,Valparaíso,1528
32,Zacatecas,32050,Vetagrande,1566
32,Zacatecas,32051,Villa de Cos,1335
32,Zacatecas,32052,Villa García,1658
32,Zacatecas,32053,Villa González Ortega,1553
32,Zacatecas,32054,Villa Hidalgo,1262
32,Zacatecas,32055,Villanueva,1675
32,Zacatecas,32056,Zacatecas,4437
32,Zacatecas,32057,Trancoso,1494
32,Zacatecas,32058,Santa María de la Paz,1600
